Measurement for Device091410Y61EQE_SOLS
0.00	-0.00	100.00	0.00	56464.68	56465	0.000008	1000.00
0.00	-0.00	100.00	0.00	56464.68	56465	0.000008	1000.00
0.28	-0.07	27.50	0.01	28931.43	62793	0.000008	1000.00
0.65	-2.86	56.79	1.06	473.56	-2605	0.000008	1000.00
0.68	-4.30	58.19	1.70	307.69	7283	0.000008	1000.00
0.68	-4.32	57.67	1.69	307.34	3011	0.000008	1000.00
0.67	-4.17	60.43	1.69	312.71	1937	0.000008	1000.00
0.64	-2.37	55.68	0.84	561.73	4412	0.000008	1000.00
0.63	-1.97	55.38	0.69	648.01	-2029	0.000008	1000.00
0.60	-1.27	53.86	0.41	1073.48	6426	0.000008	1000.00
0.60	-1.27	53.87	0.41	1090.84	16345	0.000008	1000.00
0.58	-0.94	50.23	0.28	1408.71	9972	0.000008	1000.00
0.56	-0.74	49.37	0.20	1897.93	41514	0.000008	1000.00
0.55	-0.68	47.17	0.18	2151.40	25831	0.000008	1000.00
0.52	-0.52	43.37	0.12	2836.02	32770	0.000008	1000.00
0.52	-0.46	42.19	0.10	3090.58	27609	0.000008	1000.00
0.52	-0.47	43.61	0.11	3217.24	28243	0.000008	1000.00
0.49	-0.39	41.03	0.08	4304.80	26301	0.000008	1000.00
0.44	-0.25	34.97	0.04	7635.91	30140	0.000008	1000.00
0.42	-0.21	33.23	0.03	10672.90	34313	0.000008	1000.00
0.36	-0.15	30.44	0.02	16924.32	39794	0.000008	1000.00
0.32	-0.13	28.70	0.01	25166.19	36979	0.000008	1000.00
0.31	-0.11	27.83	0.01	24099.51	38183	0.000008	1000.00
0.27	-0.09	27.90	0.01	31087.33	39472	0.000008	1000.00
0.28	-0.10	28.09	0.01	26311.41	38150	0.000008	1000.00
0.26	-0.09	27.82	0.01	27732.59	39721	0.000008	1000.00
0.20	-0.06	26.07	0.00	37461.53	45070	0.000008	1000.00
0.17	-0.05	26.73	0.00	39760.79	39513	0.000008	1000.00
0.18	-0.05	25.54	0.00	41923.90	44059	0.000008	1000.00
0.13	-0.04	26.18	0.00	42324.68	42713	0.000008	1000.00
0.03	-0.01	25.07	0.00	45492.02	47025	0.000008	1000.00
0.00	-0.00	100.00	0.00	43774.70	43775	0.000008	1000.00
0.00	-0.00	100.00	0.00	44727.87	44728	0.000008	1000.00
