Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 992.628097 W/m^2	
810.000000	-0.000720	-12.990220
800.000000	0.001967	35.491245
790.000000	0.004533	81.782253
780.000000	0.006822	123.078210
770.000000	0.008881	160.212686
760.000000	0.010910	196.826466
750.000000	0.012940	233.440245
740.000000	0.014591	263.230067
730.000000	0.016394	295.760393
720.000000	0.018226	328.811474
710.000000	0.019990	360.629271
700.000000	0.021551	388.802158
690.000000	0.023131	417.303920
680.000000	0.024723	446.024949
670.000000	0.026095	470.772120
660.000000	0.027257	491.737344
650.000000	0.028474	513.689170
640.000000	0.029984	540.930231
630.000000	0.031491	568.116448
620.000000	0.032653	589.081707
610.000000	0.033754	608.950819
600.000000	0.034969	630.875190
590.000000	0.035914	647.921469
580.000000	0.036906	665.817243
570.000000	0.037433	675.326915
560.000000	0.038333	691.550981
550.000000	0.039051	704.513756
540.000000	0.039958	720.874923
530.000000	0.040663	733.591115
520.000000	0.041670	751.760962
510.000000	0.042424	765.354137
500.000000	0.043417	783.277334
490.000000	0.044363	800.350965
480.000000	0.045284	816.958649
470.000000	0.046812	844.528620
460.000000	0.048151	868.672910
450.000000	0.049372	890.706964
440.000000	0.050529	911.589962
430.000000	0.051743	933.486980
420.000000	0.052841	953.301182
410.000000	0.053888	972.183559
400.000000	0.055126	994.519103
