Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 993.039269 W/m^2	
810.000000	-0.000518	-9.341834
800.000000	0.002123	38.299843
790.000000	0.004653	83.949909
780.000000	0.006875	124.037398
770.000000	0.008970	161.829605
760.000000	0.010906	196.744272
750.000000	0.012947	233.577281
740.000000	0.014735	265.833570
730.000000	0.016444	296.664833
720.000000	0.018266	329.524038
710.000000	0.019924	359.450862
700.000000	0.021612	389.898405
690.000000	0.023183	418.235681
680.000000	0.024641	444.544981
670.000000	0.025888	467.044981
660.000000	0.027035	487.736136
650.000000	0.028498	514.127629
640.000000	0.029859	538.682959
630.000000	0.031389	566.280283
620.000000	0.032800	591.740085
610.000000	0.033751	608.895977
600.000000	0.034971	630.902610
590.000000	0.036028	649.976863
580.000000	0.036937	666.365385
570.000000	0.037635	678.971826
560.000000	0.038316	691.249491
550.000000	0.039069	704.842666
540.000000	0.040212	725.451728
530.000000	0.040786	735.810965
520.000000	0.041511	748.883421
510.000000	0.042536	767.382046
500.000000	0.043570	786.045259
490.000000	0.044635	805.256547
480.000000	0.045674	824.001887
470.000000	0.046870	845.570061
460.000000	0.048286	871.112058
450.000000	0.049457	892.241638
440.000000	0.050668	914.083816
430.000000	0.051982	937.789713
420.000000	0.052931	954.918185
410.000000	0.054300	979.610550
400.000000	0.055050	993.148750
