Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 981.172578 W/m^2	
810.000000	-0.000132	-2.384978
800.000000	0.002783	50.205444
790.000000	0.005550	100.119311
780.000000	0.008009	144.481920
770.000000	0.010254	184.987294
760.000000	0.012378	223.300204
750.000000	0.014448	260.653935
740.000000	0.016361	295.157512
730.000000	0.018252	329.277388
720.000000	0.020316	366.521487
710.000000	0.021972	396.393504
700.000000	0.023617	426.073709
690.000000	0.025364	457.590083
680.000000	0.027073	488.421245
670.000000	0.028304	510.619755
660.000000	0.029650	534.900980
650.000000	0.030825	556.112888
640.000000	0.032287	582.476996
630.000000	0.033879	611.197956
620.000000	0.035068	632.656581
610.000000	0.036195	652.991371
600.000000	0.037330	673.463397
590.000000	0.038254	690.125990
580.000000	0.039168	706.624059
570.000000	0.039744	717.010716
560.000000	0.040324	727.479636
550.000000	0.040977	739.264066
540.000000	0.041626	750.966237
530.000000	0.042846	772.972870
520.000000	0.043182	779.029441
510.000000	0.044098	795.554997
500.000000	0.045044	812.628629
490.000000	0.045586	822.412439
480.000000	0.046853	845.268638
470.000000	0.047892	864.013978
460.000000	0.049022	884.403743
450.000000	0.050207	905.779973
440.000000	0.051166	923.072901
430.000000	0.052120	940.283568
420.000000	0.053282	961.248827
410.000000	0.053900	972.402789
400.000000	0.055251	996.766376
