Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 972.210980 W/m^2	
400.000000	0.053203	959.823633
410.000000	0.052463	946.477173
420.000000	0.051585	930.636792
430.000000	0.050668	914.083816
440.000000	0.049530	893.557150
450.000000	0.048351	872.290401
460.000000	0.047159	850.777133
470.000000	0.045958	829.126765
480.000000	0.044875	809.586567
490.000000	0.043783	789.882046
500.000000	0.043045	776.563007
510.000000	0.041903	755.953946
520.000000	0.041321	745.457606
530.000000	0.040472	730.138014
540.000000	0.039841	718.764756
550.000000	0.039186	706.952903
560.000000	0.038196	689.084548
570.000000	0.037646	679.163702
580.000000	0.037061	668.612589
590.000000	0.036135	651.895156
600.000000	0.035405	638.740505
610.000000	0.034227	617.473890
620.000000	0.033216	599.249203
630.000000	0.031931	576.064093
640.000000	0.030280	546.274270
650.000000	0.028983	522.869998
660.000000	0.027690	499.547853
670.000000	0.026367	475.677734
680.000000	0.024857	448.436574
690.000000	0.023385	421.880658
700.000000	0.021802	393.324121
710.000000	0.020079	362.246240
720.000000	0.018420	332.319417
730.000000	0.016711	301.488154
740.000000	0.014674	264.737390
750.000000	0.012952	233.659509
760.000000	0.011030	198.991510
770.000000	0.008894	160.459336
780.000000	0.006875	124.037398
790.000000	0.004578	82.582749
800.000000	0.002021	36.459531
810.000000	-0.000769	-13.867188
