Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 981.172578 W/m^2	
400.000000	0.056079	1011.702349
410.000000	0.054836	989.284611
420.000000	0.053961	973.499071
430.000000	0.053051	957.083128
440.000000	0.051824	934.939527
450.000000	0.050742	915.426747
460.000000	0.049668	896.051005
470.000000	0.048391	873.003065
480.000000	0.047254	852.503686
490.000000	0.046440	837.814360
500.000000	0.045415	819.315603
510.000000	0.044380	800.652455
520.000000	0.043621	786.949664
530.000000	0.042703	770.396688
540.000000	0.042167	760.722491
550.000000	0.041388	746.663504
560.000000	0.040695	734.166610
570.000000	0.039823	718.435843
580.000000	0.039270	708.460224
590.000000	0.038477	694.154517
600.000000	0.037367	674.121086
610.000000	0.036077	650.853848
620.000000	0.035161	634.328292
630.000000	0.033985	613.116383
640.000000	0.032214	581.161552
650.000000	0.030968	558.688970
660.000000	0.029771	537.093444
670.000000	0.028453	513.305452
680.000000	0.026941	486.037005
690.000000	0.025455	459.234406
700.000000	0.023929	431.691822
710.000000	0.022030	397.434911
720.000000	0.020287	366.000767
730.000000	0.018480	333.388178
740.000000	0.016464	297.021099
750.000000	0.014509	261.750168
760.000000	0.012523	225.931144
770.000000	0.010239	184.713224
780.000000	0.007989	144.125655
790.000000	0.005534	99.841476
800.000000	0.002788	50.290722
810.000000	-0.000267	-4.808461
