Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 1029.625546 W/m^2	
400.000000	0.000997	17.979436
410.000000	0.001034	18.647890
420.000000	0.001238	22.325752
430.000000	0.001619	29.216587
440.000000	0.002127	38.371364
450.000000	0.002867	51.726660
460.000000	0.003779	68.171132
470.000000	0.004908	88.549304
480.000000	0.006007	108.374562
490.000000	0.007283	131.382077
500.000000	0.008633	155.745597
510.000000	0.009917	178.903269
520.000000	0.011269	203.294176
530.000000	0.012447	224.560875
540.000000	0.013289	239.743516
550.000000	0.013781	248.622905
560.000000	0.014556	262.599733
570.000000	0.015534	280.248890
580.000000	0.016151	291.375567
590.000000	0.016830	303.625811
600.000000	0.017940	323.659242
610.000000	0.018861	340.266994
620.000000	0.019549	352.681694
630.000000	0.020075	362.164012
640.000000	0.020614	371.892982
650.000000	0.021273	383.786994
660.000000	0.021913	395.324674
670.000000	0.022797	411.274703
680.000000	0.023894	431.061487
690.000000	0.024950	450.108284
700.000000	0.026370	475.732441
710.000000	0.028012	505.357841
720.000000	0.030000	541.231721
730.000000	0.031901	575.516018
740.000000	0.034075	614.733386
750.000000	0.036130	651.813029
760.000000	0.038424	693.195338
770.000000	0.040643	733.234783
780.000000	0.042964	775.110460
790.000000	0.045542	821.617714
800.000000	0.048110	867.932960
810.000000	0.050815	916.742261
