Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 972.210980 W/m^2	
810.000000	0.049340	890.131469
800.000000	0.046941	846.858153
790.000000	0.044064	794.952084
780.000000	0.041444	747.677525
770.000000	0.038870	701.252598
760.000000	0.036596	660.226486
750.000000	0.034088	614.979969
740.000000	0.032138	579.791265
730.000000	0.029918	539.751786
720.000000	0.027815	501.795125
710.000000	0.025800	465.455398
700.000000	0.023979	432.596228
690.000000	0.022528	406.423929
680.000000	0.021410	386.253428
670.000000	0.020318	366.548907
660.000000	0.019467	351.201793
650.000000	0.018831	339.718887
640.000000	0.018217	328.647020
630.000000	0.017599	317.493024
620.000000	0.017026	307.161106
610.000000	0.016537	298.336543
600.000000	0.015507	279.755591
590.000000	0.014486	261.339094
580.000000	0.013843	249.746540
570.000000	0.013215	238.400668
560.000000	0.012317	222.203989
550.000000	0.011580	208.912320
540.000000	0.011123	200.663237
530.000000	0.010377	187.207146
520.000000	0.009242	166.735220
510.000000	0.007993	144.207866
500.000000	0.006815	122.941191
490.000000	0.005607	101.153620
480.000000	0.004376	78.954396
470.000000	0.003337	60.201973
460.000000	0.002290	41.309251
450.000000	0.001426	25.717531
440.000000	0.000728	13.129721
430.000000	0.000206	3.716370
420.000000	-0.000184	-3.312008
410.000000	-0.000423	-7.622564
400.000000	-0.000538	-9.702193
