Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 972.210980 W/m^2	
810.000000	-0.000635	-11.455499
800.000000	0.002023	36.503548
790.000000	0.004636	83.644570
780.000000	0.006916	124.777357
770.000000	0.009029	162.898433
760.000000	0.011024	198.881894
750.000000	0.013184	237.852544
740.000000	0.014992	270.465149
730.000000	0.016763	302.419948
720.000000	0.018726	337.827880
710.000000	0.020345	367.042208
700.000000	0.021995	396.804575
690.000000	0.023783	429.060864
680.000000	0.025200	454.630281
670.000000	0.026643	480.665443
660.000000	0.028051	506.070438
650.000000	0.029147	525.829800
640.000000	0.030474	549.782248
630.000000	0.032074	578.640209
620.000000	0.033189	598.755836
610.000000	0.034558	623.448200
600.000000	0.035525	640.905584
590.000000	0.036344	655.677236
580.000000	0.037394	674.614452
570.000000	0.037919	684.096706
560.000000	0.038957	702.814692
550.000000	0.039495	712.516240
540.000000	0.040329	727.561829
530.000000	0.040950	738.770767
520.000000	0.041738	752.994279
510.000000	0.042627	769.026469
500.000000	0.043469	784.209093
490.000000	0.044555	803.804000
480.000000	0.045465	820.219942
470.000000	0.046672	842.007344
460.000000	0.047901	864.178434
450.000000	0.048816	880.676570
440.000000	0.050052	902.984627
430.000000	0.051237	924.360992
420.000000	0.052267	942.941878
410.000000	0.053186	959.522277
400.000000	0.054032	974.787162
