Dividing Wavelength (nm)	Power (W)	  Total Light Power Density = 972.210980 W/m^2	
400.000000	-0.000459	-8.282763
410.000000	-0.000355	-6.398443
420.000000	-0.000110	-1.991609
430.000000	0.000287	5.179813
440.000000	0.000800	14.430865
450.000000	0.001538	27.753150
460.000000	0.002370	42.758942
470.000000	0.003428	61.844217
480.000000	0.004488	80.968005
490.000000	0.005728	103.340531
500.000000	0.006970	125.736545
510.000000	0.008153	147.085439
520.000000	0.009423	169.996462
530.000000	0.010562	190.550615
540.000000	0.011272	203.349001
550.000000	0.011750	211.981737
560.000000	0.012516	225.794092
570.000000	0.013404	241.826367
580.000000	0.014003	252.624130
590.000000	0.014693	265.066233
600.000000	0.015729	283.756834
610.000000	0.016705	301.378573
620.000000	0.017274	311.628228
630.000000	0.017807	321.247550
640.000000	0.018378	331.552013
650.000000	0.019001	342.788302
660.000000	0.019757	356.436253
670.000000	0.020534	370.440502
680.000000	0.021609	389.843599
690.000000	0.022744	410.315524
700.000000	0.024246	437.419616
710.000000	0.026036	469.703291
720.000000	0.027991	504.974223
730.000000	0.030075	542.574553
740.000000	0.032244	581.709625
750.000000	0.034435	621.228483
760.000000	0.036733	662.692988
770.000000	0.039214	707.446204
780.000000	0.041576	750.061831
790.000000	0.044322	799.611014
800.000000	0.046903	846.173043
810.000000	0.049919	900.572968
