Wavelength (nm)	Light Power (W)	
400.000000	9.425748E-6
401.000000	1.321935E-5
402.000000	2.024163E-5
403.000000	2.927043E-5
404.000000	4.048473E-5
405.000000	5.083212E-5
406.000000	6.597729E-5
407.000000	6.986309E-5
408.000000	7.565625E-5
409.000000	7.998241E-5
410.000000	8.405554E-5
411.000000	0.000109
412.000000	0.000126
413.000000	0.000166
414.000000	0.000189
415.000000	0.000189
416.000000	0.000176
417.000000	0.000155
418.000000	0.000101
419.000000	7.420044E-5
420.000000	7.604891E-5
421.000000	8.229126E-5
422.000000	7.446574E-5
423.000000	7.750778E-5
424.000000	8.619877E-5
425.000000	9.311576E-5
426.000000	9.726905E-5
427.000000	0.000102
428.000000	0.000113
429.000000	0.000127
430.000000	0.000135
431.000000	0.000139
432.000000	0.000138
433.000000	0.000140
434.000000	0.000153
435.000000	0.000158
436.000000	0.000158
437.000000	0.000171
438.000000	0.000175
439.000000	0.000175
440.000000	0.000176
441.000000	0.000190
442.000000	0.000185
443.000000	0.000179
444.000000	0.000178
445.000000	0.000173
446.000000	0.000170
447.000000	0.000190
448.000000	0.000212
449.000000	0.000193
450.000000	0.000184
451.000000	0.000200
452.000000	0.000210
453.000000	0.000201
454.000000	0.000181
455.000000	0.000182
456.000000	0.000209
457.000000	0.000230
458.000000	0.000235
459.000000	0.000220
460.000000	0.000204
461.000000	0.000190
462.000000	0.000182
463.000000	0.000180
464.000000	0.000184
465.000000	0.000191
466.000000	0.000176
467.000000	0.000145
468.000000	0.000144
469.000000	0.000180
470.000000	0.000182
471.000000	0.000143
472.000000	0.000139
473.000000	0.000184
474.000000	0.000187
475.000000	0.000148
476.000000	0.000145
477.000000	0.000167
478.000000	0.000155
479.000000	0.000153
480.000000	0.000180
481.000000	0.000173
482.000000	0.000129
483.000000	0.000136
484.000000	0.000162
485.000000	0.000142
486.000000	0.000135
487.000000	0.000152
488.000000	0.000149
489.000000	0.000136
490.000000	0.000150
491.000000	0.000162
492.000000	0.000177
493.000000	0.000185
494.000000	0.000171
495.000000	0.000169
496.000000	0.000193
497.000000	0.000197
498.000000	0.000183
499.000000	0.000180
500.000000	0.000200
501.000000	0.000229
502.000000	0.000220
503.000000	0.000211
504.000000	0.000243
505.000000	0.000263
506.000000	0.000241
507.000000	0.000204
508.000000	0.000199
509.000000	0.000195
510.000000	0.000174
511.000000	0.000165
512.000000	0.000185
513.000000	0.000214
514.000000	0.000246
515.000000	0.000295
516.000000	0.000374
517.000000	0.000403
518.000000	0.000349
519.000000	0.000298
520.000000	0.000269
521.000000	0.000210
522.000000	0.000173
523.000000	0.000168
524.000000	0.000215
525.000000	0.000290
526.000000	0.000311
527.000000	0.000343
528.000000	0.000372
529.000000	0.000350
530.000000	0.000273
531.000000	0.000202
532.000000	0.000169
533.000000	0.000181
534.000000	0.000195
535.000000	0.000253
536.000000	0.000343
537.000000	0.000321
538.000000	0.000261
539.000000	0.000259
540.000000	0.000210
541.000000	0.000188
542.000000	0.000189
543.000000	0.000225
544.000000	0.000294
545.000000	0.000305
546.000000	0.000285
547.000000	0.000279
548.000000	0.000220
549.000000	0.000179
550.000000	0.000178
551.000000	0.000193
552.000000	0.000257
553.000000	0.000298
554.000000	0.000312
555.000000	0.000316
556.000000	0.000266
557.000000	0.000215
558.000000	0.000206
559.000000	0.000228
560.000000	0.000276
561.000000	0.000306
562.000000	0.000285
563.000000	0.000285
564.000000	0.000236
565.000000	0.000192
566.000000	0.000197
567.000000	0.000212
568.000000	0.000258
