Wavelength (nm)	Light Power (W)	
400.000000	6.839348E-6
401.000000	9.174491E-6
402.000000	1.365508E-5
403.000000	2.071631E-5
404.000000	2.773988E-5
405.000000	3.653045E-5
406.000000	5.066034E-5
407.000000	5.506568E-5
408.000000	5.899884E-5
409.000000	6.629975E-5
410.000000	6.661881E-5
411.000000	8.718141E-5
412.000000	0.000101
413.000000	0.000132
414.000000	0.000154
415.000000	0.000154
416.000000	0.000149
417.000000	0.000131
418.000000	9.034952E-5
419.000000	6.503653E-5
420.000000	6.569845E-5
421.000000	7.150252E-5
422.000000	6.495339E-5
423.000000	6.697005E-5
424.000000	7.487436E-5
425.000000	7.958116E-5
426.000000	8.509546E-5
427.000000	8.902557E-5
428.000000	9.881074E-5
429.000000	0.000109
430.000000	0.000118
431.000000	0.000120
432.000000	0.000119
433.000000	0.000121
434.000000	0.000134
435.000000	0.000137
436.000000	0.000137
437.000000	0.000149
438.000000	0.000154
439.000000	0.000152
440.000000	0.000149
441.000000	0.000164
442.000000	0.000161
443.000000	0.000154
444.000000	0.000152
445.000000	0.000151
446.000000	0.000146
447.000000	0.000163
448.000000	0.000184
449.000000	0.000172
450.000000	0.000159
451.000000	0.000170
452.000000	0.000181
453.000000	0.000170
454.000000	0.000150
455.000000	0.000153
456.000000	0.000180
457.000000	0.000205
458.000000	0.000204
459.000000	0.000193
460.000000	0.000178
461.000000	0.000168
462.000000	0.000164
463.000000	0.000163
464.000000	0.000161
465.000000	0.000164
466.000000	0.000153
467.000000	0.000125
468.000000	0.000121
469.000000	0.000154
470.000000	0.000165
471.000000	0.000128
472.000000	0.000117
473.000000	0.000158
474.000000	0.000166
475.000000	0.000130
476.000000	0.000119
477.000000	0.000140
478.000000	0.000134
479.000000	0.000129
480.000000	0.000152
481.000000	0.000152
482.000000	0.000112
483.000000	0.000111
484.000000	0.000140
485.000000	0.000120
486.000000	0.000105
487.000000	0.000124
488.000000	0.000126
489.000000	0.000108
490.000000	0.000117
491.000000	0.000131
492.000000	0.000143
493.000000	0.000153
494.000000	0.000141
495.000000	0.000134
496.000000	0.000153
497.000000	0.000163
498.000000	0.000151
499.000000	0.000145
500.000000	0.000162
501.000000	0.000197
502.000000	0.000185
503.000000	0.000172
504.000000	0.000198
505.000000	0.000224
506.000000	0.000208
507.000000	0.000170
508.000000	0.000168
509.000000	0.000169
510.000000	0.000147
511.000000	0.000129
512.000000	0.000145
513.000000	0.000165
514.000000	0.000195
515.000000	0.000229
516.000000	0.000289
517.000000	0.000345
518.000000	0.000302
519.000000	0.000247
520.000000	0.000231
521.000000	0.000181
522.000000	0.000140
523.000000	0.000130
524.000000	0.000167
525.000000	0.000232
526.000000	0.000259
527.000000	0.000277
528.000000	0.000314
529.000000	0.000302
530.000000	0.000229
531.000000	0.000171
532.000000	0.000139
533.000000	0.000143
534.000000	0.000154
535.000000	0.000196
536.000000	0.000274
537.000000	0.000278
538.000000	0.000209
539.000000	0.000205
540.000000	0.000172
541.000000	0.000150
542.000000	0.000156
543.000000	0.000182
544.000000	0.000243
545.000000	0.000266
546.000000	0.000236
547.000000	0.000236
548.000000	0.000192
549.000000	0.000140
550.000000	0.000138
551.000000	0.000153
552.000000	0.000201
553.000000	0.000245
554.000000	0.000253
555.000000	0.000254
556.000000	0.000223
557.000000	0.000177
558.000000	0.000168
559.000000	0.000187
560.000000	0.000222
561.000000	0.000260
562.000000	0.000236
563.000000	0.000231
564.000000	0.000199
565.000000	0.000154
566.000000	0.000152
567.000000	0.000162
568.000000	0.000194
569.000000	0.000223
570.000000	0.000212
571.000000	0.000197
572.000000	0.000181
573.000000	0.000147
574.000000	0.000147
575.000000	0.000171
576.000000	0.000216
577.000000	0.000240
578.000000	0.000253
579.000000	0.000237
580.000000	0.000197
581.000000	0.000175
582.000000	0.000165
583.000000	0.000183
584.000000	0.000217
585.000000	0.000231
586.000000	0.000220
587.000000	0.000209
588.000000	0.000177
589.000000	0.000169
590.000000	0.000173
591.000000	0.000253
592.000000	0.000255
593.000000	0.000255
594.000000	0.000243
595.000000	0.000236
596.000000	0.000238
597.000000	0.000244
598.000000	0.000264
599.000000	0.000282
600.000000	0.000294
601.000000	0.000304
602.000000	0.000300
603.000000	0.000294
604.000000	0.000276
605.000000	0.000262
606.000000	0.000264
607.000000	0.000268
608.000000	0.000291
609.000000	0.000315
610.000000	0.000328
611.000000	0.000337
612.000000	0.000333
613.000000	0.000318
614.000000	0.000294
615.000000	0.000276
616.000000	0.000279
617.000000	0.000294
618.000000	0.000321
619.000000	0.000343
620.000000	0.000352
621.000000	0.000361
622.000000	0.000365
623.000000	0.000371
624.000000	0.000381
625.000000	0.000401
626.000000	0.000378
627.000000	0.000387
628.000000	0.000379
629.000000	0.000379
630.000000	0.000385
631.000000	0.000401
632.000000	0.000420
633.000000	0.000431
634.000000	0.000441
635.000000	0.000438
636.000000	0.000432
637.000000	0.000430
638.000000	0.000428
639.000000	0.000433
640.000000	0.000424
641.000000	0.000416
642.000000	0.000414
643.000000	0.000415
644.000000	0.000436
645.000000	0.000455
646.000000	0.000468
647.000000	0.000468
648.000000	0.000447
649.000000	0.000431
650.000000	0.000420
651.000000	0.000426
652.000000	0.000449
653.000000	0.000463
654.000000	0.000475
655.000000	0.000459
656.000000	0.000437
657.000000	0.000430
658.000000	0.000421
659.000000	0.000443
660.000000	0.000479
661.000000	0.000496
662.000000	0.000504
663.000000	0.000478
664.000000	0.000430
665.000000	0.000407
666.000000	0.000417
667.000000	0.000450
668.000000	0.000486
669.000000	0.000507
670.000000	0.000493
671.000000	0.000454
672.000000	0.000439
673.000000	0.000430
674.000000	0.000434
675.000000	0.000472
676.000000	0.000489
677.000000	0.000484
678.000000	0.000482
679.000000	0.000448
680.000000	0.000424
681.000000	0.000447
682.000000	0.000474
683.000000	0.000488
684.000000	0.000497
685.000000	0.000488
686.000000	0.000440
687.000000	0.000427
688.000000	0.000458
689.000000	0.000473
690.000000	0.000497
691.000000	0.000506
692.000000	0.000478
693.000000	0.000451
694.000000	0.000426
695.000000	0.000421
696.000000	0.000445
697.000000	0.000476
698.000000	0.000494
699.000000	0.000476
700.000000	0.000457
701.000000	0.000447
702.000000	0.000425
703.000000	0.000438
704.000000	0.000480
705.000000	0.000486
706.000000	0.000464
707.000000	0.000464
708.000000	0.000455
709.000000	0.000412
710.000000	0.000415
711.000000	0.000485
712.000000	0.000516
713.000000	0.000486
714.000000	0.000447
715.000000	0.000416
716.000000	0.000419
717.000000	0.000431
718.000000	0.000455
719.000000	0.000477
720.000000	0.000475
721.000000	0.000471
722.000000	0.000447
723.000000	0.000421
724.000000	0.000426
725.000000	0.000447
726.000000	0.000461
727.000000	0.000473
728.000000	0.000465
729.000000	0.000444
730.000000	0.000424
731.000000	0.000418
732.000000	0.000423
733.000000	0.000443
734.000000	0.000460
735.000000	0.000455
736.000000	0.000444
737.000000	0.000432
738.000000	0.000416
739.000000	0.000415
740.000000	0.000420
741.000000	0.000430
742.000000	0.000438
743.000000	0.000429
744.000000	0.000409
745.000000	0.000399
746.000000	0.000388
747.000000	0.000389
748.000000	0.000402
749.000000	0.000403
750.000000	0.000402
751.000000	0.000393
752.000000	0.000375
753.000000	0.000363
754.000000	0.000356
755.000000	0.000358
756.000000	0.000366
757.000000	0.000366
758.000000	0.000359
759.000000	0.000351
760.000000	0.000337
761.000000	0.000325
762.000000	0.000322
763.000000	0.000327
764.000000	0.000333
765.000000	0.000332
766.000000	0.000324
767.000000	0.000316
768.000000	0.000306
769.000000	0.000300
770.000000	0.000301
771.000000	0.000304
772.000000	0.000308
773.000000	0.000305
774.000000	0.000296
775.000000	0.000284
776.000000	0.000275
777.000000	0.000276
778.000000	0.000283
779.000000	0.000290
780.000000	0.000291
781.000000	0.000284
782.000000	0.000273
783.000000	0.000264
784.000000	0.000261
785.000000	0.000268
786.000000	0.000273
787.000000	0.000275
788.000000	0.000271
789.000000	0.000260
790.000000	0.000251
791.000000	0.000247
792.000000	0.000251
793.000000	0.000259
794.000000	0.000269
795.000000	0.000273
796.000000	0.000262
797.000000	0.000252
798.000000	0.000249
799.000000	0.000252
800.000000	0.000262
801.000000	0.000274
802.000000	0.000278
803.000000	0.000270
804.000000	0.000256
805.000000	0.000246
806.000000	0.000243
807.000000	0.000250
808.000000	0.000264
809.000000	0.000269
810.000000	0.000261
811.000000	0.000252
812.000000	0.000238
813.000000	0.000231
814.000000	0.000237
815.000000	0.000246
816.000000	0.000258
817.000000	0.000258
818.000000	0.000243
819.000000	0.000229
820.000000	0.000223
821.000000	0.000224
822.000000	0.000236
823.000000	0.000248
824.000000	0.000252
825.000000	0.000245
826.000000	0.000232
827.000000	0.000227
828.000000	0.000229
829.000000	0.000234
830.000000	0.000242
831.000000	0.000248
832.000000	0.000245
833.000000	0.000236
834.000000	0.000225
835.000000	0.000217
836.000000	0.000220
837.000000	0.000228
838.000000	0.000233
839.000000	0.000234
840.000000	0.000230
841.000000	0.000221
842.000000	0.000214
843.000000	0.000217
844.000000	0.000223
845.000000	0.000226
846.000000	0.000227
847.000000	0.000224
848.000000	0.000214
849.000000	0.000205
850.000000	0.000205
851.000000	0.000208
852.000000	0.000210
853.000000	0.000212
854.000000	0.000209
855.000000	0.000201
856.000000	0.000194
857.000000	0.000190
858.000000	0.000191
859.000000	0.000193
860.000000	0.000191
861.000000	0.000186
862.000000	0.000178
863.000000	0.000170
864.000000	0.000166
865.000000	0.000166
866.000000	0.000163
867.000000	0.000163
868.000000	0.000159
869.000000	0.000151
870.000000	0.000147
871.000000	0.000144
872.000000	0.000142
873.000000	0.000142
874.000000	0.000140
875.000000	0.000137
876.000000	0.000133
877.000000	0.000128
878.000000	0.000126
879.000000	0.000125
880.000000	0.000123
881.000000	0.000123
882.000000	0.000120
883.000000	0.000118
884.000000	0.000117
885.000000	0.000113
886.000000	0.000111
887.000000	0.000111
888.000000	0.000111
889.000000	0.000110
890.000000	0.000109
891.000000	0.000107
892.000000	0.000105
893.000000	0.000105
894.000000	0.000106
895.000000	0.000106
896.000000	0.000104
897.000000	0.000104
898.000000	0.000104
899.000000	0.000103
900.000000	0.000103
901.000000	0.000102
902.000000	0.000103
903.000000	0.000102
904.000000	0.000101
905.000000	0.000102
906.000000	0.000101
907.000000	0.000101
908.000000	0.000101
909.000000	9.996405E-5
910.000000	0.000100
911.000000	0.000100
912.000000	0.000100
913.000000	0.000101
914.000000	0.000100
915.000000	0.000100
916.000000	9.926442E-5
917.000000	9.787546E-5
918.000000	9.925920E-5
919.000000	9.911381E-5
920.000000	9.748580E-5
921.000000	9.803977E-5
922.000000	9.728241E-5
923.000000	9.601347E-5
924.000000	9.641375E-5
925.000000	9.523639E-5
926.000000	9.610341E-5
927.000000	9.619815E-5
928.000000	9.535057E-5
929.000000	9.533259E-5
930.000000	9.311026E-5
931.000000	9.136785E-5
932.000000	9.117315E-5
933.000000	8.992544E-5
934.000000	9.006626E-5
935.000000	8.947587E-5
936.000000	8.830568E-5
937.000000	8.862664E-5
938.000000	8.747984E-5
939.000000	8.647065E-5
940.000000	8.730902E-5
941.000000	8.668024E-5
942.000000	8.690544E-5
943.000000	8.639236E-5
944.000000	8.403538E-5
945.000000	8.311908E-5
946.000000	8.184856E-5
947.000000	8.061334E-5
948.000000	8.116773E-5
949.000000	8.073881E-5
950.000000	8.007269E-5
951.000000	7.965208E-5
952.000000	7.831318E-5
953.000000	7.827464E-5
954.000000	7.830945E-5
955.000000	7.730376E-5
956.000000	7.785128E-5
