# Wavelength [nm], EQE [%]
3.000160000000000196e+02 1.530914999999999981e-09 3.000160000000000196e+02 1.977178999999999931e+01
3.099889999999999759e+02 2.198259999999999810e-09 3.099889999999999759e+02 1.332995999999999981e+01
3.199889999999999759e+02 2.935859999999999827e-09 3.199889999999999759e+02 1.529899999999999949e+01
3.300140000000000100e+02 3.656180000000000086e-09 3.300140000000000100e+02 2.263261999999999929e+01
3.399889999999999759e+02 4.290115000000000131e-09 3.399889999999999759e+02 2.690315000000000012e+01
3.499889999999999759e+02 4.158694999999999772e-09 3.499889999999999759e+02 2.899613000000000085e+01
3.600129999999999768e+02 4.548864999999999884e-09 3.600129999999999768e+02 2.916764999999999830e+01
3.699859999999999900e+02 4.798065000000000222e-09 3.699859999999999900e+02 2.811925000000000097e+01
3.799830000000000041e+02 5.315120000000000150e-09 3.799830000000000041e+02 2.440237000000000123e+01
3.900020000000000095e+02 6.317379999999999954e-09 3.900020000000000095e+02 2.168366999999999933e+01
4.000059999999999718e+02 8.008154999999999422e-09 4.000059999999999718e+02 2.061316000000000059e+01
4.099950000000000045e+02 9.214150000000000488e-09 4.099950000000000045e+02 2.188497999999999877e+01
4.200049999999999955e+02 1.082849999999999998e-08 4.200049999999999955e+02 2.382758000000000109e+01
4.299990000000000236e+02 1.212545000000000056e-08 4.299990000000000236e+02 2.626903000000000077e+01
4.400140000000000100e+02 1.377890000000000005e-08 4.400140000000000100e+02 2.993572999999999951e+01
4.500110000000000241e+02 1.553429999999999836e-08 4.500110000000000241e+02 3.474085000000000178e+01
4.599900000000000091e+02 1.771889999999999927e-08 4.599900000000000091e+02 3.908014000000000010e+01
4.699889999999999759e+02 2.346144999999999863e-08 4.699889999999999759e+02 4.205246999999999957e+01
4.800059999999999718e+02 2.023455000000000102e-08 4.800059999999999718e+02 4.375321999999999889e+01
4.900029999999999859e+02 2.036189999999999852e-08 4.900029999999999859e+02 4.425856999999999886e+01
4.999820000000000277e+02 2.051105000000000022e-08 4.999820000000000277e+02 4.507630000000000337e+01
5.100140000000000100e+02 1.998719999999999980e-08 5.100140000000000100e+02 4.538002000000000180e+01
5.199880000000000564e+02 2.092940000000000012e-08 5.199880000000000564e+02 4.630138000000000176e+01
5.300149999999999864e+02 2.204990000000000013e-08 5.300149999999999864e+02 4.787790999999999997e+01
5.399840000000000373e+02 2.289030000000000149e-08 5.399840000000000373e+02 4.973161000000000342e+01
5.500040000000000191e+02 2.359239999999999889e-08 5.500040000000000191e+02 5.194680999999999926e+01
5.600049999999999955e+02 4.937124999999999947e-08 5.600049999999999955e+02 5.556421000000000276e+01
5.699740000000000464e+02 5.452625000000000162e-08 5.699740000000000464e+02 5.693719000000000108e+01
5.800149999999999864e+02 5.991065000000000052e-08 5.800149999999999864e+02 5.892190999999999690e+01
5.899729999999999563e+02 6.491654999999999375e-08 5.899729999999999563e+02 6.035654999999999859e+01
6.000019999999999527e+02 6.836535000000000277e-08 6.000019999999999527e+02 6.101319999999999766e+01
6.100259999999999536e+02 7.124659999999999424e-08 6.100259999999999536e+02 6.159425000000000239e+01
6.199669999999999845e+02 7.102835000000000485e-08 6.199669999999999845e+02 6.195568999999999704e+01
6.299790000000000418e+02 7.200330000000000260e-08 6.299790000000000418e+02 6.199680000000000035e+01
6.399850000000000136e+02 7.353125000000000537e-08 6.399850000000000136e+02 6.178922000000000025e+01
6.499850000000000136e+02 7.783865000000000065e-08 6.499850000000000136e+02 6.194162000000000035e+01
6.599790000000000418e+02 7.946844999999999848e-08 6.599790000000000418e+02 6.174125000000000085e+01
6.699660000000000082e+02 8.460529999999999858e-08 6.699660000000000082e+02 6.134443999999999875e+01
6.800240000000000009e+02 9.068799999999999785e-08 6.800240000000000009e+02 6.067582000000000164e+01
6.899990000000000236e+02 9.627590000000000251e-08 6.899990000000000236e+02 5.998254000000000019e+01
6.999669999999999845e+02 8.904365000000000073e-08 6.999669999999999845e+02 5.959103000000000350e+01
7.100030000000000427e+02 9.093534999999999907e-08 7.100030000000000427e+02 5.995094000000000278e+01
7.200339999999999918e+02 9.351110000000000147e-08 7.200339999999999918e+02 6.030353000000000208e+01
7.299819999999999709e+02 9.147380000000000480e-08 7.299819999999999709e+02 6.114963999999999800e+01
7.399980000000000473e+02 9.314725000000000050e-08 7.399980000000000473e+02 6.171779000000000082e+01
7.500080000000000382e+02 9.026594999999999971e-08 7.500080000000000382e+02 6.192770999999999759e+01
7.600109999999999673e+02 1.007290000000000015e-07 7.600109999999999673e+02 6.116814000000000107e+01
7.700049999999999955e+02 1.068989999999999966e-07 7.700049999999999955e+02 6.031551000000000329e+01
7.799930000000000518e+02 7.580135000000000398e-08 7.799930000000000518e+02 5.862693999999999761e+01
7.899729999999999563e+02 8.143299999999999869e-08 7.899729999999999563e+02 5.770748999999999995e+01
8.000199999999999818e+02 8.413960000000000256e-08 8.000199999999999818e+02 5.719382999999999839e+01
8.099850000000000136e+02 8.201505000000000621e-08 8.099850000000000136e+02 5.700493000000000166e+01
8.200170000000000528e+02 2.756440000000000031e-07 8.200170000000000528e+02 5.676091000000000264e+01
8.299660000000000082e+02 4.477639999999999853e-07 8.299660000000000082e+02 5.683744000000000085e+01
8.399819999999999709e+02 1.800080000000000062e-07 8.399819999999999709e+02 5.728538999999999959e+01
8.499900000000000091e+02 7.744574999999999718e-08 8.499900000000000091e+02 5.744207000000000107e+01
8.599890000000000327e+02 7.430249999999999979e-08 8.599890000000000327e+02 5.752685000000000315e+01
8.699800000000000182e+02 1.165905000000000010e-07 8.699800000000000182e+02 5.733209999999999695e+01
8.800370000000000346e+02 5.421499999999999677e-07 8.800370000000000346e+02 5.702899000000000029e+01
8.900119999999999436e+02 5.016374999999999680e-07 8.900119999999999436e+02 5.708283000000000129e+01
8.999769999999999754e+02 4.396729999999999958e-07 8.999769999999999754e+02 5.682939999999999969e+01
9.100080000000000382e+02 4.274205000000000123e-07 9.100080000000000382e+02 5.678566000000000003e+01
9.200289999999999964e+02 5.243090000000000397e-07 9.200289999999999964e+02 5.647319000000000244e+01
9.299690000000000509e+02 2.018064999999999880e-07 9.299690000000000509e+02 5.671009999999999707e+01
9.399710000000000036e+02 2.902539999999999996e-07 9.399710000000000036e+02 5.606537999999999755e+01
