Wavelength [nm]	I [A]	Wavelength [nm]	EQE [%]
3.000160E+2	1.530915E-9	3.000160E+2	2.515644E+1
3.099890E+2	2.198260E-9	3.099890E+2	1.694720E+1
3.199890E+2	2.935860E-9	3.199890E+2	2.019053E+1
3.300140E+2	3.656180E-9	3.300140E+2	3.030428E+1
3.399890E+2	4.290115E-9	3.399890E+2	3.632724E+1
3.499890E+2	4.158695E-9	3.499890E+2	3.828171E+1
3.600130E+2	4.548865E-9	3.600130E+2	3.860057E+1
3.699860E+2	4.798065E-9	3.699860E+2	3.906728E+1
3.799830E+2	5.315120E-9	3.799830E+2	3.905049E+1
3.900020E+2	6.317380E-9	3.900020E+2	4.151596E+1
4.000060E+2	8.008155E-9	4.000060E+2	4.664388E+1
4.099950E+2	9.214150E-9	4.099950E+2	5.130795E+1
4.200050E+2	1.082850E-8	4.200050E+2	5.262301E+1
4.299990E+2	1.212545E-8	4.299990E+2	4.961059E+1
4.400140E+2	1.377890E-8	4.400140E+2	4.510273E+1
4.500110E+2	1.553430E-8	4.500110E+2	4.248434E+1
4.599900E+2	1.771890E-8	4.599900E+2	4.173245E+1
4.699890E+2	2.346145E-8	4.699890E+2	4.232196E+1
4.800060E+2	2.023455E-8	4.800060E+2	4.348601E+1
4.900030E+2	2.036190E-8	4.900030E+2	4.494035E+1
4.999820E+2	2.051105E-8	4.999820E+2	4.647083E+1
5.100140E+2	1.998720E-8	5.100140E+2	4.772754E+1
5.199880E+2	2.092940E-8	5.199880E+2	4.934891E+1
5.300150E+2	2.204990E-8	5.300150E+2	5.122927E+1
5.399840E+2	2.289030E-8	5.399840E+2	5.293212E+1
5.500040E+2	2.359240E-8	5.500040E+2	5.510312E+1
5.000050E+2	2.813990E-8	5.000050E+2	4.667946E+1
5.100050E+2	3.189075E-8	5.100050E+2	4.899762E+1
5.199990E+2	3.647460E-8	5.199990E+2	5.007429E+1
5.299890E+2	3.931220E-8	5.299890E+2	5.174549E+1
5.399740E+2	4.156050E-8	5.399740E+2	5.333972E+1
5.500300E+2	4.499840E-8	5.500300E+2	5.549591E+1
5.600050E+2	4.937125E-8	5.600050E+2	5.827833E+1
5.699740E+2	5.452625E-8	5.699740E+2	6.008526E+1
5.800150E+2	5.991065E-8	5.800150E+2	6.254148E+1
5.899730E+2	6.491655E-8	5.899730E+2	6.426712E+1
6.000020E+2	6.836535E-8	6.000020E+2	6.552963E+1
6.100260E+2	7.124660E-8	6.100260E+2	6.691462E+1
6.199670E+2	7.102835E-8	6.199670E+2	6.768214E+1
6.299790E+2	7.200330E-8	6.299790E+2	6.759341E+1
6.399850E+2	7.353125E-8	6.399850E+2	6.670675E+1
6.499850E+2	7.783865E-8	6.499850E+2	6.632339E+1
6.599790E+2	7.946845E-8	6.599790E+2	6.572422E+1
6.699660E+2	8.460530E-8	6.699660E+2	6.544634E+1
6.800240E+2	9.068800E-8	6.800240E+2	6.487687E+1
6.899990E+2	9.627590E-8	6.899990E+2	6.420295E+1
6.999670E+2	8.904365E-8	6.999670E+2	6.274326E+1
7.100030E+2	9.093535E-8	7.100030E+2	6.225183E+1
7.200340E+2	9.351110E-8	7.200340E+2	6.153601E+1
7.299820E+2	9.147380E-8	7.299820E+2	6.152891E+1
7.399980E+2	9.314725E-8	7.399980E+2	6.134130E+1
7.500080E+2	9.026595E-8	7.500080E+2	6.162473E+1
