Wavelength [nm]	I [A]	Wavelength [nm]	EQE [%]
3.000160E+2	1.530915E-9	3.000160E+2	2.418465E+1
3.099890E+2	2.198260E-9	3.099890E+2	1.623171E+1
3.199890E+2	2.935860E-9	3.199890E+2	1.943586E+1
3.300140E+2	3.656180E-9	3.300140E+2	2.921501E+1
3.399890E+2	4.290115E-9	3.399890E+2	3.385004E+1
3.499890E+2	4.158695E-9	3.499890E+2	3.427493E+1
3.600130E+2	4.548865E-9	3.600130E+2	3.436143E+1
3.699860E+2	4.798065E-9	3.699860E+2	3.445262E+1
3.799830E+2	5.315120E-9	3.799830E+2	3.336079E+1
3.900020E+2	6.317380E-9	3.900020E+2	3.403844E+1
4.000060E+2	8.008155E-9	4.000060E+2	3.690453E+1
4.099950E+2	9.214150E-9	4.099950E+2	4.126004E+1
4.200050E+2	1.082850E-8	4.200050E+2	4.413024E+1
4.299990E+2	1.212545E-8	4.299990E+2	4.376359E+1
4.400140E+2	1.377890E-8	4.400140E+2	4.167054E+1
4.500110E+2	1.553430E-8	4.500110E+2	3.998762E+1
4.599900E+2	1.771890E-8	4.599900E+2	3.920887E+1
4.699890E+2	2.346145E-8	4.699890E+2	3.943293E+1
4.800060E+2	2.023455E-8	4.800060E+2	3.994990E+1
4.900030E+2	2.036190E-8	4.900030E+2	4.077031E+1
4.999820E+2	2.051105E-8	4.999820E+2	4.174009E+1
5.100140E+2	1.998720E-8	5.100140E+2	4.270143E+1
5.199880E+2	2.092940E-8	5.199880E+2	4.385814E+1
5.300150E+2	2.204990E-8	5.300150E+2	4.513964E+1
5.399840E+2	2.289030E-8	5.399840E+2	4.634325E+1
5.500040E+2	2.359240E-8	5.500040E+2	4.786497E+1
5.000050E+2	2.813990E-8	5.000050E+2	4.261301E+1
5.100050E+2	3.189075E-8	5.100050E+2	4.394242E+1
5.199990E+2	3.647460E-8	5.199990E+2	4.545435E+1
5.299890E+2	3.931220E-8	5.299890E+2	4.612753E+1
5.399740E+2	4.156050E-8	5.399740E+2	4.715708E+1
5.500300E+2	4.499840E-8	5.500300E+2	4.871361E+1
5.600050E+2	4.937125E-8	5.600050E+2	5.054194E+1
5.699740E+2	5.452625E-8	5.699740E+2	5.160929E+1
5.800150E+2	5.991065E-8	5.800150E+2	5.336635E+1
5.899730E+2	6.491655E-8	5.899730E+2	5.438991E+1
6.000020E+2	6.836535E-8	6.000020E+2	5.526065E+1
6.100260E+2	7.124660E-8	6.100260E+2	5.606921E+1
6.199670E+2	7.102835E-8	6.199670E+2	5.659018E+1
6.299790E+2	7.200330E-8	6.299790E+2	5.648226E+1
6.399850E+2	7.353125E-8	6.399850E+2	5.586735E+1
6.499850E+2	7.783865E-8	6.499850E+2	5.546465E+1
6.599790E+2	7.946845E-8	6.599790E+2	5.513285E+1
6.699660E+2	8.460530E-8	6.699660E+2	5.486950E+1
6.800240E+2	9.068800E-8	6.800240E+2	5.448119E+1
6.899990E+2	9.627590E-8	6.899990E+2	5.388101E+1
6.999670E+2	8.904365E-8	6.999670E+2	5.310520E+1
7.100030E+2	9.093535E-8	7.100030E+2	5.248631E+1
7.200340E+2	9.351110E-8	7.200340E+2	5.195883E+1
7.299820E+2	9.147380E-8	7.299820E+2	5.212618E+1
7.399980E+2	9.314725E-8	7.399980E+2	5.194469E+1
7.500080E+2	9.026595E-8	7.500080E+2	5.224507E+1
7.600110E+2	1.007290E-7	7.600110E+2	5.240524E+1
7.700050E+2	1.068990E-7	7.700050E+2	5.225145E+1
7.799930E+2	7.580135E-8	7.799930E+2	5.250963E+1
7.899730E+2	8.143300E-8	7.899730E+2	5.262885E+1
8.000200E+2	8.413960E-8	8.000200E+2	5.227967E+1
8.099850E+2	8.201505E-8	8.099850E+2	5.187473E+1
8.200170E+2	2.756440E-7	8.200170E+2	5.211800E+1
8.299660E+2	4.477640E-7	8.299660E+2	5.087085E+1
