Wavelength [nm]	I [A]	Wavelength [nm]	EQE [%]
3.000160E+2	2.558875E-9	3.000160E+2	2.006913E+0
3.099890E+2	2.561150E-9	3.099890E+2	1.937283E+0
3.199890E+2	2.936770E-9	3.199890E+2	2.722931E+0
3.300140E+2	3.640720E-9	3.300140E+2	3.797264E+0
3.399890E+2	4.312395E-9	3.399890E+2	5.278910E+0
3.499890E+2	4.187340E-9	3.499890E+2	7.667936E+0
3.600130E+2	4.577970E-9	3.600130E+2	1.108038E+1
3.699860E+2	4.821715E-9	3.699860E+2	1.539172E+1
3.799830E+2	5.363320E-9	3.799830E+2	1.927460E+1
3.900020E+2	6.357400E-9	3.900020E+2	2.114407E+1
4.000060E+2	8.048175E-9	4.000060E+2	2.245003E+1
4.099950E+2	9.268715E-9	4.099950E+2	2.211551E+1
4.200050E+2	1.092125E-8	4.200050E+2	1.997283E+1
4.299990E+2	1.221460E-8	4.299990E+2	1.812814E+1
4.400140E+2	1.386620E-8	4.400140E+2	1.705474E+1
4.500110E+2	1.564345E-8	4.500110E+2	1.702287E+1
4.599900E+2	1.782260E-8	4.599900E+2	1.768867E+1
4.699890E+2	2.350875E-8	4.699890E+2	1.882424E+1
4.800060E+2	2.042375E-8	4.800060E+2	2.045498E+1
4.900030E+2	2.050740E-8	4.900030E+2	2.275006E+1
4.999820E+2	2.065660E-8	4.999820E+2	2.524109E+1
5.100140E+2	2.005995E-8	5.100140E+2	2.786773E+1
5.199880E+2	2.096210E-8	5.199880E+2	3.078548E+1
5.300150E+2	2.207170E-8	5.300150E+2	3.361439E+1
5.399840E+2	2.295215E-8	5.399840E+2	3.539382E+1
5.500040E+2	2.368340E-8	5.500040E+2	3.627604E+1
5.000050E+2	2.797980E-8	5.000050E+2	2.648018E+1
5.100050E+2	3.141055E-8	5.100050E+2	2.932070E+1
5.199990E+2	3.631090E-8	5.199990E+2	3.218955E+1
5.299890E+2	3.915220E-8	5.299890E+2	3.466596E+1
5.399740E+2	4.140770E-8	5.399740E+2	3.610099E+1
5.500300E+2	4.475100E-8	5.500300E+2	3.709302E+1
5.600050E+2	4.921480E-8	5.600050E+2	3.807799E+1
5.699740E+2	5.416250E-8	5.699740E+2	3.934613E+1
5.800150E+2	5.943020E-8	5.800150E+2	4.070944E+1
5.899730E+2	6.450910E-8	5.899730E+2	4.132503E+1
6.000020E+2	6.763775E-8	6.000020E+2	4.129595E+1
6.100260E+2	7.079555E-8	6.100260E+2	4.092401E+1
6.199670E+2	7.078100E-8	6.199670E+2	4.105491E+1
6.299790E+2	7.168320E-8	6.299790E+2	4.131574E+1
6.399850E+2	7.308020E-8	6.399850E+2	4.102790E+1
6.499850E+2	7.750400E-8	6.499850E+2	3.941363E+1
6.599790E+2	7.932295E-8	6.599790E+2	3.410254E+1
6.699660E+2	8.443070E-8	6.699660E+2	2.446269E+1
6.800240E+2	9.041150E-8	6.800240E+2	1.336225E+1
6.899990E+2	9.607220E-8	6.899990E+2	5.911229E+0
6.999670E+2	8.927645E-8	6.999670E+2	2.374571E+0
7.100030E+2	9.092080E-8	7.100030E+2	9.110354E-1
7.200340E+2	9.352565E-8	7.200340E+2	3.917533E-1
7.299820E+2	9.157565E-8	7.299820E+2	1.729587E-1
7.399980E+2	9.339465E-8	7.399980E+2	8.636217E-2
7.500080E+2	9.055705E-8	7.500080E+2	5.180782E-2
7.600110E+2	1.001760E-7	7.600110E+2	3.428973E-2
7.700050E+2	1.081790E-7	7.700050E+2	2.745553E-2
7.799930E+2	7.631070E-8	7.799930E+2	3.416232E-2
7.899730E+2	8.149120E-8	7.899730E+2	3.203471E-2
8.000200E+2	8.460530E-8	8.000200E+2	3.037334E-2
8.099850E+2	8.221880E-8	8.099850E+2	3.184349E-2
8.200170E+2	2.672330E-7	8.200170E+2	1.027528E-2
8.299660E+2	4.525375E-7	8.299660E+2	6.382206E-3
8.399820E+2	1.827440E-7	8.399820E+2	1.514839E-2
8.499900E+2	7.923565E-8	8.499900E+2	3.493141E-2
8.599890E+2	7.412790E-8	8.599890E+2	3.761546E-2
8.699800E+2	1.146405E-7	8.699800E+2	2.425051E-2
8.800370E+2	5.280055E-7	8.800370E+2	5.418862E-3
8.900120E+2	5.041110E-7	8.900120E+2	5.540494E-3
8.999770E+2	4.364425E-7	8.999770E+2	7.259659E-4
9.100080E+2	4.257325E-7	9.100080E+2	6.655181E-4
9.200290E+2	5.228540E-7	9.200290E+2	5.821237E-4
9.299690E+2	2.037570E-7	9.299690E+2	1.185322E-3
9.399710E+2	2.860635E-7	9.399710E+2	9.987790E-4
9.499660E+2	3.401965E-7	9.499660E+2	8.327260E-4
9.600260E+2	2.174360E-7	9.600260E+2	1.238517E-3
9.700000E+2	2.095480E-7	9.700000E+2	1.269020E-3
9.799660E+2	5.204385E-7	9.799660E+2	4.936436E-4
9.899970E+2	5.009970E-7	9.899970E+2	4.924381E-4
1.000017E+3	3.799230E-7	1.000017E+3	5.291168E-4
1.010027E+3	1.714805E-7	1.010027E+3	1.282731E-3
1.020027E+3	1.447635E-7	1.020027E+3	1.340161E-3
1.030016E+3	8.841790E-8	1.030016E+3	2.258189E-3
1.039996E+3	7.197420E-8	1.039996E+3	1.961758E-3
1.049965E+3	6.661910E-8	1.049965E+3	1.971632E-3
